path,title,role,words,automatic_priority,missing_expected_signals,risk_flags,manual_decision,manual_issue_types,manual_reason
content/actividades/_index.md,Actividades,navegacion,43,media,quien|acciones|lenguaje_directo,cuerpo-muy-breve,conservar,,"Portada breve de sección: explica qué son las actividades, que empiezan por un caso resuelto y que no envían datos."
content/actividades/comparar-sugerencias/index.md,Dos cambios para tu texto: ¿cuál aceptas?,pagina,0,media,situacion|quien|lenguaje_directo,cuerpo-muy-breve,conservar,,"La actividad empieza con el caso completo de Renata resuelto (párrafo, dos cambios, decisión y razón) antes de pedir nada; el marco (co-creación) se nombra al final con enlace."
content/actividades/revisar-actividad/index.md,"Lo que pides, lo que practican, lo que entregan: ¿es lo mismo?",pagina,70,media,situacion|quien|lenguaje_directo,cuerpo-muy-breve,conservar,,La actividad empieza con el caso de la docente de primer semestre ya resuelto en tres frases y una ruptura marcada; el marco (alineación) se nombra al final con enlace.
content/areas/digital/_index.md,Aprendizaje digital,navegacion,0,media,situacion|quien|acciones|lenguaje_directo,cuerpo-muy-breve,conservar,,"Es una página de término taxonómico: su función es titular y describir el listado automático de contenidos, no desarrollar una actividad independiente."
content/areas/etica/_index.md,Ética,navegacion,0,media,situacion|quien|acciones|lenguaje_directo,cuerpo-muy-breve,conservar,,"Es una página de término taxonómico: su función es titular y describir el listado automático de contenidos, no desarrollar una actividad independiente."
content/areas/evaluacion/_index.md,Evaluación,navegacion,0,media,situacion|quien|acciones|lenguaje_directo,cuerpo-muy-breve,conservar,,"Es una página de término taxonómico: su función es titular y describir el listado automático de contenidos, no desarrollar una actividad independiente."
content/areas/formacion/_index.md,Formación docente,navegacion,0,media,situacion|quien|acciones|lenguaje_directo,cuerpo-muy-breve,conservar,,"Es una página de término taxonómico: su función es titular y describir el listado automático de contenidos, no desarrollar una actividad independiente."
content/areas/ia/_index.md,IA,navegacion,0,media,situacion|quien|acciones|lenguaje_directo,cuerpo-muy-breve,conservar,,"Es una página de término taxonómico: su función es titular y describir el listado automático de contenidos, no desarrollar una actividad independiente."
content/areas/pedagogia/_index.md,Pedagogía,navegacion,0,media,situacion|quien|acciones|lenguaje_directo,cuerpo-muy-breve,conservar,,"Es una página de término taxonómico: su función es titular y describir el listado automático de contenidos, no desarrollar una actividad independiente."
content/ia-educacion/_index.md,IA en educación,navegacion,78,media,situacion|quien,cuerpo-muy-breve,conservar,,Resuelve dos situaciones de navegación distintas —entrar por responsabilidad o explorar por tema— sin confundirlas. Cada ruta anticipa la decisión o alcance que atenderá.
