lot,priority_score,path,route,title,kind,section,words,course_role,course_action,modules,audience_routes,narrative_status,narrative_signals,didactic_status,didactic_signals,consistency_band,review_flags,orientation_relations,explicit_orientation_reference,explicit_guide_reference,visual_status,visual_decision,visual_family,featured,svg_assets,accessible_svg,inline_images,missing_alt,current_h5p,interaction_candidate,interaction_technology,internal_links,cross_section_links,organization_needs
L1-nucleo-riesgos-y-solapamientos,14,ia-educacion/integracion-curricular/ia-aprendizaje-hibrido/index.md,/ia-educacion/integracion-curricular/ia-aprendizaje-hibrido/,IA en el aprendizaje híbrido y activo,page,ia-educacion,773,referencia-en-cuarentena,reescribir-antes-de-enlazar,M5,profesorado,debil,1,robusto-candidato,8,revision-prioritaria,correspondencia-samr-bloom-por-revisar|interactividad-con-chat-por-justificar|deteccion-de-ia-requiere-mediacion,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,11,formacion-docente/modelos-samr-icap/index.md,/formacion-docente/modelos-samr-icap/,Dos preguntas distintas sobre una misma actividad,page,formacion-docente,1098,nucleo-candidato,reescribir-antes-de-enlazar,M5,profesorado,robusto-candidato,5,robusto-candidato,7,revision-prioritaria,correspondencia-samr-bloom-por-revisar|interactividad-con-chat-por-justificar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,4,4,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,11,formacion-docente/taxonomia-bloom-diseno-inverso/index.md,/formacion-docente/taxonomia-bloom-diseno-inverso/,Partir de lo que quieres observar,page,formacion-docente,1007,nucleo-candidato,reescribir-antes-de-enlazar,M5,profesorado,parcial,4,robusto-candidato,8,revision-prioritaria,correspondencia-samr-bloom-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,1,1,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,11,ia-educacion/guias/agenciamiento-humano-ia/index.md,/ia-educacion/guias/agenciamiento-humano-ia/,Conservar la dirección del trabajo con IA,page,ia-educacion,2190,nucleo-candidato,reescribir-antes-de-enlazar,M3,comun,robusto-candidato,6,parcial,6,revision-prioritaria,interactividad-con-chat-por-justificar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,figura-gobernada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,3,3,1,0,direccion-epistemica-decidir-reformular,auditar-y-mediar-h5p-existente,H5P ya gobernado,2,2,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,11,recursos/glosario/taxonomia-de-bloom/index.md,/recursos/glosario/taxonomia-de-bloom/,Taxonomía de Bloom,page,recursos,204,referencia-en-cuarentena,fusionar-o-desduplicar,M5,profesorado,debil,1,parcial,6,revision-prioritaria,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|diseno-activo-hibrido,false,false,solo-imagen-de-portada,sustituir-por-sistema-de-iconos-o-retirar,neon-tecnologico-generico,true,0,0,0,0,,sin-interaccion-obligatoria,Ninguna,0,0,crear-enlaces-de-continuidad|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,10,ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/index.md,/ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/,Principios de la alfabetización crítica en inteligencia artificial,page,ia-educacion,675,nucleo-candidato,reutilizar-con-ajustes,M2,comun,debil,0,parcial,4,sin-alerta-automatica,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,3,3,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,9,formacion-docente/alfabetizacion-co-creacion/index.md,/formacion-docente/alfabetizacion-co-creacion/,Principios de la alfabetización para la co-creación con inteligencia artificial,page,formacion-docente,1346,apoyo-candidato,fusionar-o-desduplicar,M3,comun,parcial,4,robusto-candidato,8,revision-prioritaria,interactividad-con-chat-por-justificar|deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,direccion-epistemica-hotspots|cocreacion-conceptos-cards,auditar-y-mediar-h5p-existente,H5P ya gobernado,4,1,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,9,formacion-docente/aprendizaje-activo/index.md,/formacion-docente/aprendizaje-activo/,Qué hace activa una experiencia de aprendizaje,page,formacion-docente,964,nucleo-candidato,reescribir-antes-de-enlazar,M5,profesorado,robusto-candidato,5,robusto-candidato,7,revision-prioritaria,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,1,1,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,1,0,conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,9,formacion-docente/aprendizaje-hibrido/index.md,/formacion-docente/aprendizaje-hibrido/,Conectar momentos para que el aprendizaje avance,page,formacion-docente,1198,nucleo-candidato,reescribir-antes-de-enlazar,M5,profesorado,robusto-candidato,5,robusto-candidato,8,revision-prioritaria,,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,2,2,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,1,0,conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,9,recursos/glosario/aprendizaje-hibrido/index.md,/recursos/glosario/aprendizaje-hibrido/,Aprendizaje híbrido,page,recursos,100,referencia-opcional,fusionar-o-desduplicar,M5,profesorado,debil,1,debil,2,revision-prioritaria,,aprendizaje-y-evaluacion-del-proceso|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,sustituir-por-sistema-de-iconos-o-retirar,neon-tecnologico-generico,true,0,0,0,0,,sin-interaccion-obligatoria,Ninguna,3,1,vincular-orientaciones|vincular-guia-por-audiencia
