path,route,kind,section,title,date,words,heading_count,external_url_count,citation_signals,reference_heading,internal_link_count,broken_internal_links,featured,local_asset_count,inline_image_count,svg_count,table_count,mermaid_count,chart_count,h5p_count,iframe_count,decision,needs,tags,categories,areas
_index.md,/,section,_index.md,Aprendizaje digital e IA,,199,2,0,0,false,9,,false,1,0,0,0,1,0,0,0,actualizar,,,,
about.md,/about/,page,about.md,Acerca del proyecto,2026-04-26,660,7,2,0,false,9,,false,1,0,0,0,0,0,0,0,conservar,featured|svg-diagrama,,,
areas/digital/_index.md,/areas/digital/,section,areas,Aprendizaje digital,,0,0,0,0,false,0,,false,0,0,0,0,0,0,0,0,actualizar,,,,
areas/etica/_index.md,/areas/etica/,section,areas,Ética,,0,0,0,0,false,0,,false,0,0,0,0,0,0,0,0,actualizar,,,,
areas/evaluacion/_index.md,/areas/evaluacion/,section,areas,Evaluación,,0,0,0,0,false,0,,false,0,0,0,0,0,0,0,0,actualizar,,,,
areas/formacion/_index.md,/areas/formacion/,section,areas,Formación docente,,0,0,0,0,false,0,,false,0,0,0,0,0,0,0,0,actualizar,,,,
areas/ia/_index.md,/areas/ia/,section,areas,IA,,0,0,0,0,false,0,,false,0,0,0,0,0,0,0,0,actualizar,,,,
areas/pedagogia/_index.md,/areas/pedagogia/,section,areas,Pedagogía,,0,0,0,0,false,0,,false,0,0,0,0,0,0,0,0,actualizar,,,,
blog/_index.md,/blog/,section,blog,Blog,2026-04-26,308,3,0,0,false,6,,false,0,0,0,0,0,0,0,0,actualizar,,,,ia|pedagogia|digital|etica
blog/agenciamiento-humano-ia/index.md,/blog/agenciamiento-humano-ia/,page,blog,El agenciamiento persona-IA: ni herramienta ni reemplazo,2026-04-26,880,7,0,0,true,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,agenciamiento|Deleuze|filosofía de la técnica|co-producción,opinion,ia|pedagogia
blog/aprender-con-ia-vs-aprender-sobre-ia/index.md,/blog/aprender-con-ia-vs-aprender-sobre-ia/,page,blog,Aprender con IA vs aprender sobre IA,2026-04-26,781,6,2,0,true,4,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,alfabetización IA|currículo|competencias|diseño didáctico,opinion,ia|pedagogia|formacion
